Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL,Тип
Boom Boom Room,семейное кафе,Кафе; Бары,"улица Достык, 4",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.8,2795,87001581111,,,,,,,https://instagram.com/boomboomroom_ast,,,https://wa.me/77001581111,,,,,,51.127665,71.407161,https://2gis.com/firm/70000001047668979,branch
Underground,спорт-бар,Кафе; Бары; Караоке-залы,"проспект Кабанбай батыр, 46/1",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 17:00-03:00; Вт: 17:00-03:00; Ср: 17:00-03:00; Чт: 17:00-03:00; Пт: 17:00-03:00; Сб: 17:00-03:00; Вс: 17:00-03:00,+05:00,4.9,40,87473093232,,,,,,,https://instagram.com/underground_resto_bar,,,https://wa.me/77473093232,,,,,,51.114483,71.412593,https://2gis.com/firm/70000001083985619,branch
Еда Города,сеть кафе домашней кухни,Кафе,"улица Алматы, 3",4 этаж; фуд-корт,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.2,134,87051002133,,,director@edagoroda.kz,,http://edagoroda.kz,,https://instagram.com/edagoroda_kz,,,https://wa.me/77051002133,,,,,,51.118221,71.415597,https://2gis.com/firm/70000001068084564,branch
Шашлычный двор Дока пицца,кафе,Кафе; Быстрое питание; Доставка готовых блюд,"улица Александра Пушкина, 9/1",,,Целинный м-н,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-01:00; Вт: 10:00-01:00; Ср: 10:00-01:00; Чт: 10:00-01:00; Пт: 10:00-01:00; Сб: 10:00-01:00; Вс: 10:00-01:00 (служба доставки: пн-вс 10:00-00:00),+05:00,4.4,189,87172779799,87073339797,,,,,,https://instagram.com/doka_pizza_,,,https://wa.me/77073339797,,,,,,51.157812,71.459538,https://2gis.com/firm/70000001018091089,branch
RICH,,Кафе; Бары,"Амангельды Иманова улица, 41",,,Целинный м-н,Байконыр район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.0,427,87769990699,87172431313,,,,,,https://instagram.com/rich_cafeastana,,,https://wa.me/77769990699,,,,,,51.162247,71.456643,https://2gis.com/firm/70000001044281746,branch
Sezam,,Кафе; Доставка готовых блюд,"проспект Улы Дала, 71",НП: 4,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+05:00,5.0,88,87780146090,87760696090,,,,,,https://instagram.com/sezam.ast,,,https://wa.me/77780146090,https://wa.me/77760696090,,,,,51.093156,71.448354,https://2gis.com/firm/70000001080074491,branch
La Creme,кафе-кондитерская,Кафе; Кондитерские изделия; Кофейни; Доставка готовых блюд,"улица Достык, 1а",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,4.1,905,87473950505 (служба бронирования),87085559700 (служба доставки ),,astanacake@gmail.com,,http://lacreme.kz,,https://instagram.com/la_creme_astana,,,https://wa.me/77473950505,https://wa.me/77085559700,,,,,51.128071,71.419143,https://2gis.com/firm/70000001048768860,branch
QaZanOk,кафе халяльной кухни,Кафе; Доставка готовых блюд; Банкетные залы,"Амангельды Иманова улица, 12",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-01:00; Вт: 10:00-01:00; Ср: 10:00-01:00; Чт: 10:00-01:00; Пт: 10:00-01:00; Сб: 10:00-01:00; Вс: 10:00-01:00,+05:00,4.4,1336,87757444175,87787776105,,,,,,https://instagram.com/qazanok.kz,,,https://wa.me/77757444175,https://wa.me/77787776105,,,,,51.163098,71.43252,https://2gis.com/firm/70000001032453684,branch
Planeta X,семейное кафе,Кафе; Детские игровые залы / Игротеки; Организация и проведение праздников,"улица Беимбет Майлин, 10",2 этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+05:00,4.8,327,87022903355,,,astanaplaneta@gmail.com,,,,https://instagram.com/planeta_x_astana,,,https://wa.me/77022903355,,,viber://chat/?number=77022903355,,,51.143293,71.470162,https://2gis.com/firm/70000001030854746,branch
Bull & Bear,спортивный бар,Кафе; Караоке-залы; Бары,"улица Алексея Петрова, 23",,,5 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 18:00-06:00; Вт: 18:00-06:00; Ср: 18:00-06:00; Чт: 18:00-06:00; Пт: 18:00-06:00; Сб: 18:00-06:00; Вс: 18:00-06:00,+05:00,4.2,28,87472075252,,,,,,,https://instagram.com/bullandbear.ast,,,https://wa.me/77472075252,,,,,,51.151248,71.477044,https://2gis.com/firm/70000001082030623,branch
Бағым,,Кафе; Доставка готовых блюд,"проспект Улы Дала, 65/2",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:30-23:00; Вт: 10:30-23:00; Ср: 10:30-23:00; Чт: 10:30-23:00; Пт: 10:30-23:00; Сб: 10:30-23:00; Вс: 10:30-23:00,+05:00,4.7,61,87023332429,87473308209,,,,,,https://instagram.com/cafe_bagim,,,https://wa.me/77023332429,https://wa.me/77782451180,,,,,51.095831,71.443329,https://2gis.com/firm/70000001069252803,branch
ПельMEN,семейное кафе,Кафе; Доставка готовых блюд; Продукты быстрого приготовления,"улица Керей-Жанибек хандар, 16",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.8,576,87712644893,,,,,,,https://instagram.com/pelmen_express2,,,https://wa.me/77712644893,,,,,,51.113708,71.420939,https://2gis.com/firm/70000001062475740,branch
COME INN HOTEL,,Кафе; Гостиницы; Доставка готовых блюд; Караоке-залы,"улица Арганаты, 13",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.1,535,87015264477 (гостиница),87755442255 (гостиница),,reservation@comeinnhotel.com,sales@comeinnhotel.com,http://taplink.cc/come_inn_hotel,,https://instagram.com/come_inn_hotel,,,https://wa.me/77015264477,,,,,,51.131347,71.478465,https://2gis.com/firm/70000001028454720,branch
Малика,кафе восточной кухни,Кафе,"улица Сауран, 7",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00,+05:00,4.2,56,87027656655,,,,,,,https://instagram.com/kafe_malika_astana,,,https://wa.me/77027656655,,,,,,51.119645,71.418481,https://2gis.com/firm/70000001019488886,branch
Бешбармақ Орталығы,кафе,Кафе; Доставка готовых блюд,"проспект Нургиса Тлендиева, 24 ст1",1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,5.0,53,87086348313,,,,,,,https://instagram.com/beshbarmak.kafe,,,https://wa.me/77086348313,,,,,,51.18937,71.344041,https://2gis.com/firm/70000001066669744,branch
Чашка,лаундж-бар,Кафе; Бары,"Амангельды Иманова улица, 47/1",2 этаж,,Целинный м-н,Байконыр район,Астана,,Астана,Казахстан,Пн: 16:00-02:00; Вт: 16:00-02:00; Ср: 16:00-02:00; Чт: 16:00-02:00; Пт: 16:00-04:00; Сб: 16:00-04:00; Вс: 16:00-02:00,+05:00,4.8,24,87029891189,,,,,,,,,,https://wa.me/77029891189,,,,,,51.160855,71.459666,https://2gis.com/firm/70000001082884623,branch
Шишка Platinum,лаундж-бар,Кафе; Бары,"улица Достык, 1а",7 офис; 2 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:30-01:00; Вт: 12:30-01:00; Ср: 12:30-01:00; Чт: 12:30-01:00; Пт: 12:30-03:00; Сб: 16:00-03:00; Вс: 12:30-01:00,+05:00,4.8,91,87758551926,,,,,,,https://instagram.com/shishka_platinum,,,https://wa.me/77758551926,,,,,,51.128273,71.419301,https://2gis.com/firm/70000001066327167,branch
7even,караоке-зал,Кафе; Караоке-залы,"проспект Республики, 10",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 18:00-04:00; Вт: 18:00-04:00; Ср: 18:00-04:00; Чт: 18:00-04:00; Пт: 18:00-04:00; Сб: 18:00-04:00; Вс: 18:00-04:00,+05:00,5.0,257,87004445802,,,ibadildaulyerkebulan@gmail.com,,,,https://instagram.com/karaoke_7even,,,https://wa.me/77004445802,,,,,https://youtube.com/@Astana326,51.160515,71.429256,https://2gis.com/firm/70000001080103815,branch
Центр плова,кафе,Кафе; Доставка готовых блюд,"улица Балкантау, 75/1",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.0,34,87754848184,,,,,,,,,,,,,,,,51.135562,71.49776,https://2gis.com/firm/70000001042699880,branch
PIZZA HOUSE,пиццерия,Кафе; Пиццерии; Доставка готовых блюд,"проспект Улы Дала, 58",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.0,112,87780030080,,,shop@pizzahouse.kz,,http://www.pizzahouse.kz,,https://instagram.com/pizzahouse_kz,,,https://wa.me/77755588857,,,,,,51.096233,71.413695,https://2gis.com/firm/70000001039961335,branch
Janym soul,,Кафе; Караоке-залы,"улица Керей-Жанибек хандар, 18",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-05:00; Вт: 10:00-05:00; Ср: 10:00-05:00; Чт: 10:00-05:00; Пт: 10:00-05:00; Сб: 10:00-05:00; Вс: 10:00-05:00,+05:00,4.4,1493,87089081555,87055094885,87007503643,,,http://access.clientomer.ru/feedback/254100/?utm_source=2gis,http://janym-soul-kj.kamiqr.com/menu/basic,https://instagram.com/janymsoul.nqz,,,https://wa.me/77089081555,https://wa.me/77007503643,,,,https://youtube.com/channel/UCyjDwwV8P8lDoaE17kzvQyQ,51.113621,71.424362,https://2gis.com/firm/70000001052444550,branch
Boom Boom Room,семейное кафе,Кафе; Бары,"улица Орынбор, 12 Блок 1",,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,4.8,637,87713446508,,,byroglaz@mail.ru,,http://bbr.kz,,https://instagram.com/boomboomroom_orynbor,,,https://wa.me/77713446508,,,,,,51.111798,71.406078,https://2gis.com/firm/70000001067876552,branch
Sharbak,,Кафе; Караоке-залы,"проспект Богенбай батыр, 42",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 11:00-01:00; Вт: 11:00-01:00; Ср: 11:00-01:00; Чт: 11:00-01:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-01:00,+05:00,4.1,100,87089178728,,,,,http://sharbak2gis.2gis.biz,,https://instagram.com/sharbak_astana,,,https://wa.me/77089178728,,,viber://chat/?number=77089178728,,,51.175921,71.415902,https://2gis.com/firm/70000001080368396,branch
Deli,лаундж-бар,Кафе; Бары,"проспект Кабанбай батыр, 58Б корпус 6",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 15:00-03:00; Вт: 15:00-03:00; Ср: 15:00-03:00; Чт: 15:00-03:00; Пт: 15:00-03:00; Сб: 15:00-03:00; Вс: 15:00-03:00,+05:00,4.6,141,87010703034,,,,,http://deli.2gis.biz,,https://instagram.com/deli_astana,,,https://wa.me/77010703034,,,,,,51.094495,71.407983,https://2gis.com/firm/70000001035737834,branch
Celery,семейное кафе,Кафе,"улица Жумекен Нажимеденов, 16Б",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.1,329,87054244944,,,,,,,https://instagram.com/celery_cafe,,,https://wa.me/77054244944,,,,,,51.117861,71.478354,https://2gis.com/firm/70000001046875617,branch
True Food Vostok,кафе восточной кухни,Кафе; Бары,"улица Туркестан, 34а",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.2,256,87055573526,,,,,,,https://instagram.com/truefood.vostok,,,https://wa.me/77055573526,,,,,,51.09508,71.42046,https://2gis.com/firm/70000001047709145,branch
Fest 425 mangilik,лаундж-бар,Кафе; Бары; Пиццерии; Рестораны; Караоке-залы,"проспект Мангилик Ел, 20/2",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 16:00-04:00; Вт: 16:00-04:00; Ср: 16:00-04:00; Чт: 16:00-04:00; Пт: 16:00-04:00; Сб: 16:00-04:00; Вс: 16:00-04:00,+05:00,4.2,169,87018804418,,,,,http://fest-425.kamiqr.com/menu/at-place,,https://instagram.com/fest.425.mangilik,,,https://wa.me/77018804418,,,,,,51.116547,71.435658,https://2gis.com/firm/70000001069489489,branch
Гол+Пас,спорт-бар,Кафе; Бары,"проспект Улы Дала, 54",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-01:00,+05:00,4.1,285,87172258538,87029280901,,golpas@golpas.com,,http://golpas.cafe,,https://instagram.com/golpas_sportbars,,,https://wa.me/77029280901,,,,,,51.097551,71.407877,https://2gis.com/firm/70000001032595497,branch
Sultani Mix,кафе быстрого питания,Кафе; Быстрое питание,"улица Куйши Дина, 4/3",,,3 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 08:00-06:00; Вт: 08:00-06:00; Ср: 08:00-06:00; Чт: 08:00-06:00; Пт: 08:00-06:00; Сб: 08:00-06:00; Вс: 08:00-06:00,+05:00,4.3,4187,87018511111 (служба самовывоза),87022157777 (служба бронирования),,,,,,https://instagram.com/sultani.astana,,,https://wa.me/77022157777,,,,,,51.145737,71.465393,https://2gis.com/firm/70000001055250285,branch
Segafredo Caffe,кафе,Кафе; Кофейни,"улица Динмухамед Конаев, 14/2",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,4.7,156,87710220863,,,segafredocaffe.kz@gmail.com,,http://segafredo.kz/,,https://instagram.com/segafredo_astana,,,https://wa.me/77710220863,,,,,,51.129128,71.437557,https://2gis.com/firm/70000001063903446,branch
Book Cafe,,Кафе,"улица Максут Нарикбаев, 22",,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,4.5,425,87078570087,,,book.cafe@bk.ru,,,,https://instagram.com/bookcoffee.ast,,,https://wa.me/77078570087,,,,,,51.14709,71.382986,https://2gis.com/firm/70000001060665808,branch
Barbaris by Damdes,,Кафе; Доставка готовых блюд,"проспект Мангилик Ел, 57а",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,4.4,446,87789557849,,,damdes.2017@gmail.com,,http://taplink.cc/damdes_kz,,https://instagram.com/barbaris_by_damdes,https://facebook.com/damdeskz,,https://wa.me/77789557849,,,,,,51.089942,71.424063,https://2gis.com/firm/70000001061179352,branch
