Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram,Twitter,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Dario,ресто-бар,Рестораны; Бары,"улица Достык, 4",,,,Нура район,Астана,,Астана,Казахстан,Пн: 18:00-04:00; Вт: 18:00-04:00; Ср: 18:00-04:00; Чт: 18:00-04:00; Пт: 18:00-06:00; Сб: 18:00-06:00; Вс: 18:00-04:00,+05:00,4.5,127,87019935274,87019935275,87054152905,,,,,,,https://instagram.com/dario_restobar,,,,https://wa.me/77019935274,https://wa.me/77019935275,https://wa.me/77054152905,,,,,51.127689,71.407396,https://2gis.com/firm/70000001066045510,branch
Studio 38,караоке-клуб,Рестораны; Караоке-залы,"улица Айша биби, 38",6 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,4.5,105,87713456500,,,,,,,,,https://instagram.com/studio38.karaoke,,,,https://wa.me/77713456500,,,,,,,51.141659,71.393575,https://2gis.com/firm/70000001061211141,branch
Два Грузина,ресторан грузинской кухни,Рестораны; Доставка готовых блюд,"проспект Республики, 40",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-01:00,+05:00,4.4,349,87081119310,,,,,,,,,https://instagram.com/dva_gruzina.kz,,,,https://wa.me/77081119310,,,,,,,51.175211,71.425174,https://2gis.com/firm/70000001066071288,branch
Pizzeria,пастабар,Рестораны; Доставка готовых блюд; Пиццерии,"улица Абикен Бектуров, 3/2",,,,Нура район,Астана,,Астана,Казахстан,Пн: 11:00-22:30; Вт: 11:00-22:30; Ср: 11:00-22:30; Чт: 11:00-22:30; Пт: 11:00-22:30; Сб: 11:00-22:30; Вс: 11:00-22:30,+05:00,4.3,126,87789482085,,,,,,,,,https://instagram.com/pizzeria_ast,,,,https://wa.me/77789482085,,,,,,,51.128478,71.396926,https://2gis.com/firm/70000001057740950,branch
Kral,банкетный зал,Рестораны; Банкетные залы,"шоссе Алаш, 39а",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.0,30,87011818001,,,,,,,,,https://instagram.com/kral.astana,,,,https://wa.me/77011818001,,,,,,,51.206707,71.493235,https://2gis.com/firm/70000001023439753,branch
Tower Pub&Lord_Loft,ресторан,Рестораны,"проспект Улы Дала, 65",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 16:00-02:00; Вт: 16:00-02:00; Ср: 16:00-02:00; Чт: 16:00-02:00; Пт: 16:00-02:00; Сб: 14:00-02:00; Вс: 14:00-02:00,+05:00,4.7,163,87026921787,,,,,,,,,https://instagram.com/lordloft_restoran,,,,https://wa.me/77026921787,,,,,,,51.093918,71.442327,https://2gis.com/firm/70000001066403686,branch
Пинта,рестораны,Рестораны; Бары; Доставка готовых блюд,"проспект Кабанбай батыр, 62",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-24:00,+05:00,4.4,1514,87781962747,,,,,,http://pinta.kz,,,https://instagram.com/pinta_astana,,https://facebook.com/pintabar.grill,,https://wa.me/77781962747,,,,,,,51.089092,71.409091,https://2gis.com/firm/70000001027813186,branch
Frau Muller,ресто-паб,Рестораны; Бары; Караоке-залы,"улица Темирбек Жургенов, 18",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-03:00,+05:00,4.2,194,87026724066 (отдел бронирование столиков),87022572662 (служба доставки),,,,,,,,https://instagram.com/fraumullerkz,,,,https://wa.me/77026724066,https://wa.me/77022572662,,,,,,51.113017,71.501163,https://2gis.com/firm/70000001041451567,branch
Agugai,,Рестораны; Банкетные залы; Бары; Караоке-залы,"шоссе Коргалжын, 76",,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,4.4,181,87761722020,,,,,,,,,https://instagram.com/agugai.01,,,,https://wa.me/77761722020,,,,,,,51.133318,71.310073,https://2gis.com/firm/70000001062741140,branch
CA Lounge,лаундж-бар,Рестораны; Бары,"улица Сыганак, 60/5",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.3,211,87015248811,,,,,,,,,https://instagram.com/ca.lounge,,,,https://wa.me/77015248811,,,,,,,51.121105,71.427867,https://2gis.com/firm/70000001056686233,branch
Rich Table,семейный ресторан,Рестораны; Доставка готовых блюд; Караоке-залы,"улица Габит Мусрепов, 12а",,,9 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,4.4,106,87079803030,,,,,,,,,https://instagram.com/richtable.astana,,,,https://wa.me/77079803030,,,,,,,51.153696,71.502391,https://2gis.com/firm/70000001068617163,branch
Бастау,ресторан,Рестораны,"улица Темирбек Жургенов, 18/2",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.7,14,87024833218,,,,,,,,,,,,,https://wa.me/77024833218,,,,,,,51.112227,71.503357,https://2gis.com/firm/70000001077262562,branch
Jangiyul,ресторан,Рестораны; Доставка готовых блюд,"улица Темирбек Жургенов, 18/2",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.0,59,87783010000 (служба доставки),,,,,,,,,https://instagram.com/jangiyul,,,,https://wa.me/77783010000,,,,,,,51.114082,71.501494,https://2gis.com/firm/70000001037309095,branch
Счастье,ресторан,Рестораны,"проспект Нургиса Тлендиева, 3/3",1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.3,59,87086862402,87022442284,,,,,,,,,,,,https://wa.me/77086862402,https://wa.me/77022442284,,,,,,51.180536,71.373891,https://2gis.com/firm/70000001041035195,branch
JANSAYA,зона отдыха,Рестораны; Базы отдыха; Конные клубы / Ипподромы; Бани / Сауны,"улица Чайка, 14",,,,,,Аршалынский район,Акмолинская область,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.2,423,87778313333,87778313344,,,,,http://jansaya.2gis.biz/,,,https://instagram.com/jansaya_resort,,,,https://wa.me/77778313333,https://wa.me/77778313344,,,,,,51.070791,71.74958,https://2gis.com/firm/70000001043809328,branch
Дипломат,,Рестораны; Доставка готовых блюд,"улица Ыкылас Дукенулы, 22",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 11:00-02:00; Вт: 11:00-02:00; Ср: 11:00-02:00; Чт: 11:00-02:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-02:00,+05:00,4.4,40,87172205356,87055956272,,,,,,,,,,,,https://wa.me/77055956272,,,,,,,51.179602,71.427816,https://2gis.com/firm/70000001019393478,branch
Восточный двор,ресторан восточной кухни,Рестораны; Караоке-залы; Доставка готовых блюд,"улица Республики, 1Б",,,,,Косшы,Косшы городская администрация,Акмолинская область,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.7,691,87761119988,,,,,,http://www.vd-resto.com/,,,https://instagram.com/vostochnii_dvor,,,,https://wa.me/77761119988,,,,,,,50.998156,71.374674,https://2gis.com/firm/70000001023991715,branch
Kruger,ресто-бар,Рестораны; Бары,"улица Акан Серы, 16",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 14:00-02:00; Вт: 14:00-02:00; Ср: 14:00-02:00; Чт: 14:00-02:00; Пт: 15:00-03:00; Сб: 15:00-03:00; Вс: 14:00-02:00,+05:00,4.3,100,87786759457,,,,,,,,,https://instagram.com/bar.kruger,,,,https://wa.me/77786759457,,,,,,,51.188758,71.382467,https://2gis.com/firm/70000001063234118,branch
Ribeye,ресто-бар,Рестораны; Бары,"проспект Мангилик Ел, 60",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 16:00-02:00; Вт: 16:00-02:00; Ср: 16:00-02:00; Чт: 16:00-02:00; Пт: 16:00-02:00; Сб: 16:00-02:00; Вс: 16:00-02:00,+05:00,4.3,106,87711619553,,,,,,,,,https://instagram.com/ribeye_rest,,,,https://wa.me/77711619553,,,,,,,51.086902,71.425505,https://2gis.com/firm/70000001063035275,branch
Sahara,ресторан,Рестораны; Бары,"проспект Мангилик Ел, 35/1",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-23:00,+05:00,4.2,409,87478227777,,,,,,,,,https://instagram.com/sahara.rest,,,,https://wa.me/77478227777,,,,,,,51.105196,71.4274,https://2gis.com/firm/70000001057034208,branch
Lion`s,ресто-паб,Рестораны; Бары; Доставка готовых блюд,"проспект Туран, 19/1",цокольный этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,4.7,120,87010621199,,,,,,,,,,,,,https://wa.me/77010621199,,,,,,,51.144268,71.408565,https://2gis.com/firm/70000001061014211,branch
Leprechaun,ирландский паб,Рестораны; Бары; Доставка готовых блюд,"проспект Кабанбай батыр, 119",4 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.5,32,87710468822,,,,,,http://leprechaun.pub,,,https://instagram.com/pub.leprechaun,,https://facebook.com/100083215394581,https://vk.com/club189605551,https://wa.me/77710468822,,,,,,,51.027202,71.460832,https://2gis.com/firm/70000001069347826,branch
Aq Anyz,ресторан восточной кухни,Рестораны; Доставка готовых блюд,"улица Республики, 1Б",,,,,Косшы,Косшы городская администрация,Акмолинская область,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00 (служба доставки: пн-вс 13:00-22:00 ),+05:00,4.1,24,87761119988,,,,,,http://aq-anyz.kz,,,https://instagram.com/aq_anyz,,,,https://wa.me/77761119988,,,,,,,50.997864,71.374332,https://2gis.com/firm/70000001029160994,branch
Айгерим,ресторан,Рестораны; Банкетные залы; Доставка готовых блюд,"улица Жалмагамбета Калиева, 22",,,,,Косшы,Косшы городская администрация,Акмолинская область,Казахстан,Пн: 11:00-02:00; Вт: 11:00-02:00; Ср: 11:00-02:00; Чт: 11:00-02:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-02:00,+05:00,4.6,17,87755572920,,,,,,,,,,,,,https://wa.me/77755572920,,,,,,,50.976327,71.346668,https://2gis.com/firm/70000001033971558,branch
